nm0000631 - Ridley Scott         - https://www.imdb.com/name/nm0000631
nm0000639 - Ally Sheedy          - https://www.imdb.com/name/nm0000639
nm0000648 - Wesley Snipes        - https://www.imdb.com/name/nm0000648
nm0000652 - James Spader         - https://www.imdb.com/name/nm0000652
nm0000658 - Meryl Streep         - https://www.imdb.com/name/nm0000658
nm0000661 - Donald Sutherland    - https://www.imdb.com/name/nm0000661
nm0000662 - Kiefer Sutherland    - https://www.imdb.com/name/nm0000662
nm0000668 - Emma Thompson        - https://www.imdb.com/name/nm0000668
nm0000671 - Billy Bob Thornton   - https://www.imdb.com/name/nm0000671
nm0000673 - Marisa Tomei         - https://www.imdb.com/name/nm0000673
nm0000678 - Kathleen Turner      - https://www.imdb.com/name/nm0000678
nm0000696 - Wil Wheaton          - https://www.imdb.com/name/nm0000696
nm0000701 - Kate Winslet         - https://www.imdb.com/name/nm0000701
nm0000702 - Reese Witherspoon    - https://www.imdb.com/name/nm0000702
nm0000705 - Robin Wright         - https://www.imdb.com/name/nm0000705
nm0000706 - Michelle Yeoh        - https://www.imdb.com/name/nm0000706
nm0000707 - Sean Young           - https://www.imdb.com/name/nm0000707
nm0000729 - Casey Affleck        - https://www.imdb.com/name/nm0000729
nm0000759 - Paul Thomas Anderson - https://www.imdb.com/name/nm0000759
nm0000867 - Jason Bateman        - https://www.imdb.com/name/nm0000867
nm0000876 - Noah Baumbach        - https://www.imdb.com/name/nm0000876
nm0000899 - Monica Bellucci      - https://www.imdb.com/name/nm0000899
nm0000949 - Cate Blanchett       - https://www.imdb.com/name/nm0000949
nm0000982 - Josh Brolin          - https://www.imdb.com/name/nm0000982
nm0000995 - Ellen Burstyn        - https://www.imdb.com/name/nm0000995
nm0001026 - Joanna Cassidy       - https://www.imdb.com/name/nm0001026
nm0001029 - Jim Caviezel         - https://www.imdb.com/name/nm0001029
nm0001036 - Geraldine Chaplin    - https://www.imdb.com/name/nm0001036
nm0001057 - Toni Collette        - https://www.imdb.com/name/nm0001057
nm0001073 - Courteney Cox        - https://www.imdb.com/name/nm0001073
nm0001085 - Kieran Culkin        - https://www.imdb.com/name/nm0001085
nm0001100 - Blythe Danner        - https://www.imdb.com/name/nm0001100
nm0001151 - Stephen Dorff        - https://www.imdb.com/name/nm0001151
nm0001191 - Adam Sandler         - https://www.imdb.com/name/nm0001191
nm0001218 - Sean Patrick Flanery - https://www.imdb.com/name/nm0001218
nm0001231 - Claire Forlani       - https://www.imdb.com/name/nm0001231
nm0001285 - Elliott Gould        - https://www.imdb.com/name/nm0001285
nm0001290 - Richard E. Grant     - https://www.imdb.com/name/nm0001290
nm0001305 - Lukas Haas           - https://www.imdb.com/name/nm0001305
nm0001321 - Richard Harris       - https://www.imdb.com/name/nm0001321
nm0001326 - Josh Hartnett        - https://www.imdb.com/name/nm0001326
nm0001337 - Katherine Heigl      - https://www.imdb.com/name/nm0001337
nm0001349 - Jennifer Love Hewitt - https://www.imdb.com/name/nm0001349
nm0001401 - Angelina Jolie       - https://www.imdb.com/name/nm0001401
nm0001406 - Carol Kane           - https://www.imdb.com/name/nm0001406
nm0001435 - Lisa Kudrow          - https://www.imdb.com/name/nm0001435
nm0001467 - Jared Leto           - https://www.imdb.com/name/nm0001467
nm0001473 - Laura Linney         - https://www.imdb.com/name/nm0001473
nm0001485 - Myrna Loy            - https://www.imdb.com/name/nm0001485
nm0001491 - Melanie Lynskey      - https://www.imdb.com/name/nm0001491
nm0001497 - Tobey Maguire        - https://www.imdb.com/name/nm0001497
nm0001499 - Tina Majorino        - https://www.imdb.com/name/nm0001499
nm0001523 - Natascha McElhone    - https://www.imdb.com/name/nm0001523
nm0001540 - Rachel Miner         - https://www.imdb.com/name/nm0001540
nm0001557 - Viggo Mortensen      - https://www.imdb.com/name/nm0001557
nm0001567 - Connie Nielsen       - https://www.imdb.com/name/nm0001567
nm0001570 - Edward Norton        - https://www.imdb.com/name/nm0001570
nm0001584 - Miranda Otto         - https://www.imdb.com/name/nm0001584
nm0001593 - Anna Paquin          - https://www.imdb.com/name/nm0001593
nm0001602 - Guy Pearce           - https://www.imdb.com/name/nm0001602
nm0001610 - Elizabeth Perkins    - https://www.imdb.com/name/nm0001610
nm0001618 - Joaquin Phoenix      - https://www.imdb.com/name/nm0001618
nm0001624 - Oliver Platt         - https://www.imdb.com/name/nm0001624
nm0001633 - Annie Potts          - https://www.imdb.com/name/nm0001633
nm0001664 - James Remar          - https://www.imdb.com/name/nm0001664
nm0001667 - Jonathan Rhys Meyers - https://www.imdb.com/name/nm0001667
nm0001669 - Miranda Richardson   - https://www.imdb.com/name/nm0001669
nm0001721 - Chloë Sevigny        - https://www.imdb.com/name/nm0001721
nm0001722 - Rufus Sewell         - https://www.imdb.com/name/nm0001722
nm0001745 - Stellan Skarsgård    - https://www.imdb.com/name/nm0001745
nm0001749 - Maggie Smith         - https://www.imdb.com/name/nm0001749
nm0001752 - Steven Soderbergh    - https://www.imdb.com/name/nm0001752
nm0001771 - Stella Stevens       - https://www.imdb.com/name/nm0001771
nm0001774 - Ben Stiller          - https://www.imdb.com/name/nm0001774
nm0001785 - Kristy Swanson       - https://www.imdb.com/name/nm0001785
nm0001804 - Stanley Tucci        - https://www.imdb.com/name/nm0001804
nm0001838 - Rachel Weisz         - https://www.imdb.com/name/nm0001838
nm0001852 - Treat Williams       - https://www.imdb.com/name/nm0001852
nm0001860 - Alicia Witt          - https://www.imdb.com/name/nm0001860
nm0001872 - Steve Zahn           - https://www.imdb.com/name/nm0001872
nm0002006 - Thomas Haden Church  - https://www.imdb.com/name/nm0002006
nm0002018 - Tom Conti            - https://www.imdb.com/name/nm0002018
nm0002064 - Giancarlo Esposito   - https://www.imdb.com/name/nm0002064
nm0002071 - Will Ferrell         - https://www.imdb.com/name/nm0002071
nm0002536 - Emmy Rossum          - https://www.imdb.com/name/nm0002536
nm0002907 - Alexander Skarsgård  - https://www.imdb.com/name/nm0002907
nm0004051 - Brian Cox            - https://www.imdb.com/name/nm0004051
nm0004266 - Anne Hathaway        - https://www.imdb.com/name/nm0004266
nm0004294 - Nadia Bjorlin        - https://www.imdb.com/name/nm0004294
nm0004715 - Will Arnett          - https://www.imdb.com/name/nm0004715
nm0004742 - Maria Bello          - https://www.imdb.com/name/nm0004742
nm0004747 - Wes Bentley          - https://www.imdb.com/name/nm0004747
nm0004753 - Leslie Bibb          - https://www.imdb.com/name/nm0004753
nm0004754 - Jessica Biel         - https://www.imdb.com/name/nm0004754
nm0004755 - Jason Biggs          - https://www.imdb.com/name/nm0004755
nm0004761 - Rachel Blanchard     - https://www.imdb.com/name/nm0004761
nm0004778 - Adrien Brody         - https://www.imdb.com/name/nm0004778
nm0004802 - Linda Cardellini     - https://www.imdb.com/name/nm0004802
nm0004825 - Emmanuelle Chriqui   - https://www.imdb.com/name/nm0004825
nm0004851 - Penélope Cruz        - https://www.imdb.com/name/nm0004851
nm0004874 - Vin Diesel           - https://www.imdb.com/name/nm0004874
nm0004937 - Jamie Foxx           - https://www.imdb.com/name/nm0004937
nm0004950 - Jennifer Garner      - https://www.imdb.com/name/nm0004950
nm0005042 - Jason Isaacs         - https://www.imdb.com/name/nm0005042
nm0005060 - Kristen Johnston     - https://www.imdb.com/name/nm0005060
nm0005098 - Chris Klein          - https://www.imdb.com/name/nm0005098
nm0005109 - Mila Kunis           - https://www.imdb.com/name/nm0005109
nm0005123 - Ali Larter           - https://www.imdb.com/name/nm0005123
nm0005132 - Heath Ledger         - https://www.imdb.com/name/nm0005132
nm0005165 - Chad Lowe            - https://www.imdb.com/name/nm0005165
nm0005169 - Natasha Lyonne       - https://www.imdb.com/name/nm0005169
nm0005176 - Wendie Malick        - https://www.imdb.com/name/nm0005176
nm0005188 - James Marsden        - https://www.imdb.com/name/nm0005188
nm0005246 - Esai Morales         - https://www.imdb.com/name/nm0005246
nm0005278 - Jerry O'Connell      - https://www.imdb.com/name/nm0005278
nm0005286 - Haley Joel Osment    - https://www.imdb.com/name/nm0005286
nm0005299 - Sarah Paulson        - https://www.imdb.com/name/nm0005299
nm0005305 - Piper Perabo         - https://www.imdb.com/name/nm0005305
nm0005326 - Jaime Pressly        - https://www.imdb.com/name/nm0005326
nm0005346 - Tara Reid            - https://www.imdb.com/name/nm0005346
nm0005351 - Ryan Reynolds        - https://www.imdb.com/name/nm0005351
nm0005363 - Guy Ritchie          - https://www.imdb.com/name/nm0005363
nm0005377 - Sam Rockwell         - https://www.imdb.com/name/nm0005377
nm0005381 - Rebecca Romijn       - https://www.imdb.com/name/nm0005381
nm0005392 - Keri Russell         - https://www.imdb.com/name/nm0005392
nm0005394 - Jeri Ryan            - https://www.imdb.com/name/nm0005394
nm0005405 - Seann William Scott  - https://www.imdb.com/name/nm0005405
nm0005408 - Katey Sagal          - https://www.imdb.com/name/nm0005408
nm0005416 - Vinessa Shaw         - https://www.imdb.com/name/nm0005416
nm0005442 - Amy Smart            - https://www.imdb.com/name/nm0005442
nm0005458 - Jason Statham        - https://www.imdb.com/name/nm0005458
nm0005476 - Hilary Swank         - https://www.imdb.com/name/nm0005476
nm0005502 - Michelle Trachtenberg - https://www.imdb.com/name/nm0005502
nm0005527 - Sofía Vergara        - https://www.imdb.com/name/nm0005527
nm0005562 - Owen Wilson          - https://www.imdb.com/name/nm0005562
nm0006969 - Elizabeth Banks      - https://www.imdb.com/name/nm0006969
nm0010075 - Jensen Ackles        - https://www.imdb.com/name/nm0010075
nm0010736 - Amy Adams            - https://www.imdb.com/name/nm0010736
nm0012078 - Scott Adkins         - https://www.imdb.com/name/nm0012078
nm0015196 - Malin Akerman        - https://www.imdb.com/name/nm0015196
nm0020739 - Krista Allen         - https://www.imdb.com/name/nm0020739
nm0027572 - Wes Anderson         - https://www.imdb.com/name/nm0027572
nm0029400 - Michael Angarano     - https://www.imdb.com/name/nm0029400
nm0035514 - Richard Armitage     - https://www.imdb.com/name/nm0035514
nm0048932 - Simon Baker          - https://www.imdb.com/name/nm0048932
nm0057150 - Jacinda Barrett      - https://www.imdb.com/name/nm0057150
nm0068338 - Kristen Bell         - https://www.imdb.com/name/nm0068338
nm0068551 - Tobin Bell           - https://www.imdb.com/name/nm0068551
nm0069079 - Troian Bellisario    - https://www.imdb.com/name/nm0069079
nm0078925 - Eve Best             - https://www.imdb.com/name/nm0078925
nm0085312 - Jack Black           - https://www.imdb.com/name/nm0085312
nm0086301 - Macon Blair          - https://www.imdb.com/name/nm0086301
nm0086883 - Jolene Blalock       - https://www.imdb.com/name/nm0086883
nm0088127 - Alexis Bledel        - https://www.imdb.com/name/nm0088127
nm0089217 - Orlando Bloom        - https://www.imdb.com/name/nm0089217
nm0093589 - Matt Bomer           - https://www.imdb.com/name/nm0093589
nm0100866 - Julie Bowen          - https://www.imdb.com/name/nm0100866
nm0108295 - Paget Brewster       - https://www.imdb.com/name/nm0108295
nm0111013 - Adam Brody           - https://www.imdb.com/name/nm0111013
nm0115161 - Emily Browning       - https://www.imdb.com/name/nm0115161
nm0117022 - Zachery Ty Bryan     - https://www.imdb.com/name/nm0117022
nm0124208 - Sophia Bush          - https://www.imdb.com/name/nm0124208
nm0124930 - Gerard Butler        - https://www.imdb.com/name/nm0124930
nm0126284 - Rose Byrne           - https://www.imdb.com/name/nm0126284
nm0135221 - Lizzy Caplan         - https://www.imdb.com/name/nm0135221
nm0147147 - Henry Cavill         - https://www.imdb.com/name/nm0147147
nm0148418 - Michael Cera         - https://www.imdb.com/name/nm0148418
nm0164809 - Jason Clarke         - https://www.imdb.com/name/nm0164809
nm0174909 - Shelley Conn         - https://www.imdb.com/name/nm0174909
nm0177639 - Jennifer Coolidge    - https://www.imdb.com/name/nm0177639
nm0179173 - John Corbett         - https://www.imdb.com/name/nm0179173
nm0180411 - Abbie Cornish        - https://www.imdb.com/name/nm0180411
nm0184965 - Christina Cox        - https://www.imdb.com/name/nm0184965
nm0185819 - Daniel Craig         - https://www.imdb.com/name/nm0185819
nm0186505 - Bryan Cranston       - https://www.imdb.com/name/nm0186505
nm0192505 - Kaley Cuoco          - https://www.imdb.com/name/nm0192505
nm0193295 - Cliff Curtis         - https://www.imdb.com/name/nm0193295
nm0193846 - Elisha Cuthbert      - https://www.imdb.com/name/nm0193846
nm0195439 - James D'Arcy         - https://www.imdb.com/name/nm0195439
nm0197354 - Elizabeth Daily      - https://www.imdb.com/name/nm0197354
nm0199590 - Brittany Daniel      - https://www.imdb.com/name/nm0199590
